image,psnr,ssim
img_003_SRF_2_HR,25.400439408564562,0.8385635436447636
img_011_SRF_4_HR,21.0085051565568,0.8216404288026731
img_012_SRF_4_HR,24.49695509773909,0.8439176308913714
img_013_SRF_2_HR,28.155456290564373,0.9096833034494067
img_021_SRF_2_HR,29.863785268550064,0.8801273693359576
img_022_SRF_4_HR,26.447892419454643,0.8551221167310665
img_029_SRF_2_HR,25.977053559293836,0.859880001868242
img_041_SRF_4_HR,25.4900017086673,0.8898076243797547
img_045_SRF_2_HR,23.453953964001627,0.8293875883371501
img_059_SRF_4_HR,21.845725902463748,0.825600368842902
img_063_SRF_2_HR,19.975769672899048,0.7868288148486781
img_063_SRF_4_HR,22.227404194914037,0.6890569711519388
img_071_SRF_2_HR,28.92816186951925,0.8230421134143238
img_075_SRF_4_HR,29.96648143072455,0.8904532171027096
img_078_SRF_2_HR,28.06725339901611,0.8520334797642931
img_080_SRF_2_HR,35.005996409342416,0.9596732632989217
img_081_SRF_2_HR,31.176480325912497,0.9532623874333848
img_081_SRF_4_HR,34.01638055116278,0.9553913997385143
img_097_SRF_2_HR,25.951247053062183,0.8847461283237419
img_099_SRF_4_HR,25.1238137611939,0.8399609838300096
